,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Lensk,80,RU,1553314429,84,60.71,114.91,271.048,2.67
1,Mar del Plata,88,AR,1553314429,70,-46.43,-67.52,288.948,6.42
2,Saldanha,0,PT,1553314144,81,41.42,-6.55,272.548,1.22
3,Talnakh,0,RU,1553314429,66,69.49,88.39,254.898,1.67
4,Ushuaia,90,AR,1553310000,93,-54.81,-68.31,281.15,3.1
5,Cidreira,56,BR,1553314211,99,-30.17,-50.22,290.648,4.77
6,Inverell,0,AU,1553314305,38,-29.78,151.11,306.48,3.13
7,Rikitea,88,PF,1553314430,100,-23.12,-134.97,298.898,8.42
8,Torbay,90,CA,1553314414,93,47.66,-52.73,276.48,13.4
9,Faanui,56,PF,1553314431,100,-16.48,-151.75,302.648,3.12
10,Tongren,92,CN,1553314431,100,27.72,109.18,278.748,4.12
11,Northam,92,GB,1553314214,93,51.04,-4.21,282.59,2.6
12,Tuktoyaktuk,75,CA,1553310000,70,69.44,-133.03,254.15,7.7
13,Crotone,0,IT,1553314432,100,39.09,17.12,287.248,8.42
14,Hobart,75,AU,1553314154,77,-42.88,147.33,293.15,4.1
15,Nouadhibou,75,MR,1553310000,88,20.93,-17.03,291.15,4.1
16,Jamestown,100,AU,1553314433,67,-33.21,138.6,296.048,5.77
17,Castro,90,CL,1553313600,100,-42.48,-73.76,286.15,3.1
18,Saint George,0,GR,1553311200,86,39.45,22.34,279.15,2.6
19,Punta Arenas,20,CL,1553313795,87,-53.16,-70.91,282.15,4.1
20,Wajir,0,KE,1553314434,72,1.75,40.07,297.348,4.37
21,Bluff,0,AU,1553314434,50,-23.58,149.07,305.548,3.67
22,Mataura,64,NZ,1553314434,48,-46.19,168.86,298.048,2.32
23,Gold Coast,0,AU,1553314385,56,-28.0,153.41,308.71,0.45
24,Biak,44,ID,1553314435,81,-0.91,122.88,302.898,1.17
25,Whitehorse,75,CA,1553314369,40,60.72,-135.06,284.15,4.1
26,Saint-Joseph,0,FR,1553313943,30,43.56,6.97,288.15,2.6
27,Arraial do Cabo,56,BR,1553314435,93,-22.97,-42.02,297.798,3.97
28,New Norfolk,75,AU,1553314394,77,-42.78,147.06,293.15,4.1
29,Qaanaaq,20,GL,1553314171,92,77.48,-69.36,238.948,4.17
30,Aksu,0,KZ,1553311800,86,52.04,76.93,274.15,2.0
31,Salas,0,ES,1553314270,75,43.41,-6.26,282.59,1.5
32,Airai,8,TL,1553314148,57,-8.93,125.41,302.348,1.17
33,Albany,90,US,1553314416,86,42.65,-73.75,274.82,12.3
34,Atuona,32,PF,1553314437,99,-9.8,-139.03,301.248,7.07
35,Padang,20,ID,1553310000,66,-0.92,100.36,304.15,1.5
36,Busselton,0,AU,1553314230,28,-33.64,115.35,294.82,5.92
37,Vaini,0,IN,1553313600,21,15.34,74.49,302.15,3.1
38,Hilo,75,US,1553314350,73,19.71,-155.08,296.48,3.6
39,Medicine Hat,5,CA,1553314424,66,50.04,-110.68,282.15,5.7
40,Yellowknife,75,CA,1553314201,68,62.45,-114.38,270.15,6.7
41,Ossora,80,RU,1553314439,96,59.24,163.07,269.898,6.92
42,Bredasdorp,24,ZA,1553313655,93,-34.53,20.04,290.93,1.5
43,Bend,20,US,1553314204,81,44.06,-121.32,281.15,3.6
44,Kapaa,75,US,1553314101,78,22.08,-159.32,299.15,9.3
45,Beringovskiy,76,RU,1553314441,90,63.05,179.32,259.498,12.97
46,San Quintin,0,PH,1553314441,49,17.54,120.52,302.748,1.67
47,Mount Gambier,75,AU,1553310000,56,-37.83,140.78,295.15,8.2
48,Alofi,100,NU,1553310000,69,-19.06,-169.92,301.15,4.6
49,Taksimo,64,RU,1553314442,66,56.36,114.84,264.648,1.22
50,Barrow,0,AR,1553314166,65,-38.31,-60.23,289.248,5.62
51,Butaritari,88,KI,1553314442,100,3.07,172.79,298.248,1.17
52,Tigil,80,RU,1553314443,84,57.8,158.67,272.498,8.67
53,Cape Town,0,ZA,1553314265,82,-33.93,18.42,293.15,4.6
54,Severo-Kurilsk,88,RU,1553314443,95,50.68,156.12,273.248,4.17
55,Lagos,20,NG,1553310000,83,6.46,3.39,299.15,1.0
56,Bandarbeyla,56,SO,1553314444,100,9.49,50.81,298.648,3.27
57,Salalah,40,OM,1553309400,74,17.01,54.1,299.15,4.6
58,Dikson,64,RU,1553314164,100,73.51,80.55,255.948,8.52
59,Balugaon,0,IN,1553314444,71,19.75,85.21,301.998,1.72
60,Verkh-Chebula,68,RU,1553314445,83,56.03,87.61,271.748,3.27
61,Dongsheng,92,CN,1553313969,82,29.72,112.52,285.648,2.07
62,Clyde River,75,CA,1553311320,75,70.47,-68.59,245.15,5.1
63,Saint-Philippe,90,CA,1553314413,94,45.36,-73.48,275.37,9.3
64,Hobyo,88,SO,1553314447,88,5.35,48.53,299.198,5.37
65,Upernavik,20,GL,1553314447,100,72.79,-56.15,247.648,2.97
66,Portland,90,US,1553314332,81,45.52,-122.67,284.26,1.5
67,Klaksvik,48,FO,1553313000,47,62.23,-6.59,276.15,20.6
68,San Carlos de Bariloche,40,AR,1553310000,66,-41.13,-71.31,286.15,7.7
